"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","20352.7815468114","23933.503670882","28752.9473408436","32261.2357249357","32935.3842193332","34198.3504325086","34290.7385697538","34636.8715083799","35421.4197249201","34687.0910313231","33880.6696230066","35317.8818022235","35266.1480293309","35009.2316507319","36905.7733365615","35028.1994143737","33132.4774717871","33082.1421208873","35074.7235275055","35044.9524133243","35131.461866508","35623.9977871298","35543.9296777885","31776.5830146276","30541.4842866276","31474.7672709456","30887.7297323648","31997.2859012262","31904.3227721246","33540.9051265586","34073.4906784914","34591.3468930629","","","",
"Africa Eastern and Southern","AFE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990.4084745062","20763.7134968558","20166.7145488019","21620.3247225004","22107.4978006707","24544.3602308766","24935.6502157957","29552.5904068512","32881.4209557612","31999.8499837851","34871.7934296744","35560.2204112156","35323.6414471764","34750.3891934826","34562.2449582325","34584.6289179576","34171.3770544337","34696.1252525744","33249.9244522134",
"Africa Western and Central","AFW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","49617.1377202649","45791.5185388492","44193.2190466739","44435.6260428648","45452.5388099186","45403.625104476","45099.0677445977","45319.3616016523","46450.8182141097","44901.2403250492","41911.9549519087","40943.4249978835","37308.905331846","27454.9625607378","26939.3865024042","29999.5765282762","32985.370358514","34264.4962146571","34732.1188767937","34355.1717285658","34263.1148822325","34544.8050729879","37979.8568023207","37815.8469091675","40533.6959137415","45004.879928602","48417.2933668918","53205.7874487691","56992.3624179535","55391.6751572058","55746.3277383563","55623.215882639","58241.133028715","58993.60488282","59713.2564363897","58239.092997585","54851.7981219508","52981.360924787","50246.4038456352","48339.2473390431","44916.9145003016",
"Albania","ALB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207072.248787522","214627.587384069","216335.679728889","214135.973837716","207053.432492531","206451.744850228","213914.264290733","208032.699338668","201245.586061465","215179.060240757","191105.030758773","138423.44931875","129256.285495801","142479.138050009","155259.17713784","177033.494113779","194347.688297439","174211.120290724","190791.058420408","216752.296239873","233298.876960286","255021.624594427","267400.175679529","283245.32111951","300103.745070515","318324.216574735","339239.173185918","362252.90966348","392421.462389145","408310.1698059","425553.262403532","437560.494218116","444496.512723585","449773.59268721","458703.514999806","470248.408114269","486613.6029298","505580.393233655","527463.912619977","541230.131024868","526341.884131156",
"Andorra","AND","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","31456.7707583032","31250.9106880947","32145.9187618095","32996.3980779982","33335.4697091133","32217.2652779386","32153.8361441574","32070.5849831472","31599.5725288392","30631.4170312221","30233.2157354141","29037.7110475089","28184.283691379","27462.2446049151","26740.170007247","26203.1186355107","25934.8654930634","26278.2024770672","26535.9456891174","26746.1095393236","26710.4925902601","26347.4340874599","25591.4693794368","24458.5183848854","24361.3967068734","24569.03382399","25510.4936065752","27843.1683199104","28812.4384159651","29887.2421078797","30458.1740327267","31975.6771204562","32138.9618547282","33438.0978409402","34702.6885245902","35360.3986256038","36088.8943761961","35901.6472751022","33429.5253994753","31431.5482885592","30813.3421744382","31070.5927305727","29998.1802079416","29527.5473566918","30861.9797255501","31794.2635877579","33271.4923345624","33515.8512669325","34043.4760024932","34667.5135457444","30475.635798874",
"Arab World","ARB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","380493.183778805","381080.647441866","401471.051625967","347729.974218969","377049.336304081","426865.62269803","415345.656309217","364748.151982802","329438.618364338","325322.709104539","297055.330578664","238610.232192513","232662.816998212","213543.847583506","226182.903859125","252596.020699647","240469.806350434","234503.299589068","224321.75009836","227119.994272955","230197.35145433","231649.293397203","238215.774543388","226864.527867414","221420.940017781","232290.8475792","223512.796354038","217365.517313739","221639.621533913","221555.375945939","206001.384196318","195872.977367527","173649.909594112","155922.60488278","132298.420687279","124473.011572634","127196.517003104","130068.506622146","135804.793872694","141372.950328092","147809.915203625","150738.251090298","152262.842811677","151774.702880272","152116.770642645","",
"Argentina","ARG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","8931.45031608531","9264.48431673659","9039.74245828127","8426.10308156521","9137.03395725368","9949.9384422257","9737.36021967339","9900.79545276863","10226.2284290963","11049.4683775318","11212.944644358","11662.2995125346","11662.9801185769","11797.9115563077","12252.3385329886","12057.7923013385","11634.9989639541","12256.6558005309","11531.5028386668","12520.6394242065","12516.9320631004","11682.2407213959","11412.6419258595","11718.7269092845","11712.651148781","10928.7713503426","11418.8531796435","11545.1530637311","11244.6054566562","10284.2192207821","9885.79979015415","10638.5368548906","11328.725956864","12099.410902581","12644.5446340224","12134.6965134658","12653.4046081787","13522.0270957212","13884.5530229484","13265.9714075255","13017.2428851278","12308.1873944284","10849.078645327","11681.9118613786","12603.0233110958","13577.1726111413","14521.5374108078","15672.2546594809","16147.0457165602","15040.2908633808","16439.0564015752","17226.2707236215","16856.718216504","17070.0712000244","16459.2049590457","16727.4347429468","16207.200833909","16492.0664048258","15906.5830110875","15420.5009213437","13758.9454298448",
"Armenia","ARM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","736946.543639526","656834.237938589","389209.384806641","363371.836136244","392260.317559897","427969.296398992","460098.121622505","480708.880076832","519847.468982926","540422.087943749","575928.286937992","635130.277255673","722927.276583599","828516.744843665","920765.699341657","1055595.33258063","1204208.45536002","1381177.34356538","1489173.50876921","1287846.32217649","1321110.07112884","1383576.35113901","1479232.65027621","1521005.08818871","1567748.29225214","1610640.60034339","1608042.15602965","1723572.30477294","1808927.5839242","1942466.18681637","1791503.75769689",
